,close
0,52.16
1,52.19
2,52.19
3,52.25
4,52.24
5,52.25
6,52.21
7,52.18
8,52.14
9,52.1
10,52.16
11,52.2
12,52.28
13,52.3
14,52.26
15,52.26
16,52.25
17,52.26
18,52.24
19,52.24
20,52.26
21,52.3
22,52.32
23,52.33
24,52.42
25,52.37
26,52.31
27,52.3
28,52.35
29,52.34
30,52.34
31,52.36
32,52.3
33,52.31
34,52.38
35,52.33
36,52.36
37,52.29
38,52.31
39,52.28
40,52.28
41,52.33
42,52.36
43,52.39
44,52.39
45,52.31
46,52.33
47,52.37
48,52.38
49,52.43
50,52.47
51,52.45
52,52.64
53,52.69
54,52.75
55,52.94
56,53.08
57,53.15
58,53.07
59,53.22
60,53.34
61,53.29
62,53.3
63,53.34
64,53.22
65,53.16
66,53.13
67,53.06
68,53.1
69,53.08
70,53.11
71,53.11
72,53.1
73,53.09
74,53.12
75,53.2
76,53.19
77,53.21
78,53.21
79,53.16
80,53.19
81,53.18
82,53.13
83,53.25
84,53.15
85,53.16
86,53.16
87,53.16
88,53.12
89,53.14
90,53.13
91,53.17
92,53.18
93,53.17
94,53.16
95,53.16
96,53.17
97,53.18
98,53.34
99,53.2
100,53.19
101,53.19
102,53.13
103,53.26
104,53.26
105,53.28
106,53.57
107,53.49
108,53.47
109,53.51
110,53.56
111,53.7
112,53.86
113,53.85
114,53.83
115,53.79
116,53.78
117,53.69
118,53.74
119,53.76
120,53.87
121,53.84
122,53.71
123,53.71
124,53.72
125,53.95
126,53.95
127,53.95
128,53.94
129,54.03
130,54.12
131,54.16
132,54.15
133,54.13
134,54.16
135,54.17
136,54.21
137,54.07
138,53.89
139,53.92
140,53.91
141,53.95
142,53.93
143,53.92
144,53.88
145,53.61
146,53.64
147,53.63
148,53.67
149,53.71
150,53.64
151,53.5
152,53.58
153,53.59
154,53.57
155,53.62
156,53.66
157,53.65
158,53.68
159,53.73
160,53.76
161,53.67
162,53.77
163,53.76
164,53.67
165,53.68
166,53.59
167,53.51
168,53.44
169,53.25
170,53.29
171,53.35
172,53.38
173,53.39
174,53.43
175,53.45
176,53.41
177,53.39
178,53.31
179,53.22
180,53.25
181,53.32
182,53.32
183,53.32
184,53.31
185,53.36
186,53.38
187,53.5
188,53.47
189,53.32
190,53.33
191,53.39
192,53.39
193,53.41
194,53.37
195,53.28
196,53.28
197,53.3
198,53.35
199,53.25
200,53.32
201,53.27
202,53.32
203,53.35
204,53.43
205,53.51
206,53.43
207,53.38
208,53.36
209,53.35
210,53.16
211,53.09
212,53.35
213,53.33
214,53.29
215,52.93
216,52.83
217,52.89
218,52.87
219,52.9
220,52.93
221,52.93
222,52.97
223,52.98
224,53.01
225,52.96
226,52.96
227,52.93
228,52.92
229,52.95
230,52.96
231,52.98
232,52.99
233,53.05
234,53.12
235,53.17
236,53.13
237,52.97
238,53.05
239,53.02
240,53.02
241,53.05
242,53.16
243,53.15
244,53.14
245,53.18
246,53.23
247,53.25
248,53.27
249,53.25
250,53.29
251,53.33
252,53.28
253,53.31
254,53.26
255,53.17
256,53.14
257,53.2
258,53.21
259,53.21
260,53.23
261,53.19
262,53.16
263,53.24
264,53.25
265,53.27
266,53.34
267,53.35
268,53.34
269,53.34
270,53.33
271,53.42
272,53.34
273,53.18
274,53.03
275,52.97
276,52.97
277,53.09
278,53.13
279,53.17
280,53.18
281,53.15
282,53.12
283,52.96
284,53.02
285,53.04
286,53.01
287,52.96
288,53.11
289,52.91
290,53.11
291,53.06
292,53.0
293,52.8
294,52.73
295,52.75
296,52.57
297,52.34
298,52.49
299,52.31
300,52.47
301,52.41
302,52.39
303,52.44
304,52.54
305,52.58
306,52.41
307,52.43
308,52.54
309,52.51
310,52.51
311,52.46
312,52.5
313,52.52
314,52.36
315,52.52
316,52.55
317,52.5
318,52.46
319,52.49
320,52.55
321,52.54
322,52.44
323,52.41
324,52.37
325,52.35
326,52.46
327,52.42
328,52.34
329,52.38
330,52.33
331,52.28
332,52.18
333,52.15
334,52.25
335,52.26
336,52.37
337,52.41
338,52.44
339,52.36
340,52.39
341,52.41
342,52.4
343,52.43
344,52.47
345,52.47
346,52.5
347,52.49
348,52.55
349,52.59
350,52.6
351,52.64
352,52.71
353,52.76
354,52.77
355,52.82
356,52.71
357,52.65
358,52.61
359,52.68
360,52.66
361,52.63
362,52.59
363,52.62
364,52.59
365,52.55
366,52.62
367,52.66
368,52.68
369,52.66
370,52.65
371,52.62
372,52.7
373,52.68
374,52.66
375,52.65
376,52.64
377,52.75
378,52.66
379,52.54
380,52.47
381,52.46
382,52.46
383,52.5
384,52.49
385,52.51
386,52.51
387,52.39
388,52.4
389,52.39
390,52.43
391,52.48
392,52.52
393,52.56
394,52.66
395,52.73
396,52.72
397,52.66
398,52.63
399,52.63
400,52.53
401,52.51
402,52.56
403,52.58
404,52.6
405,52.58
406,52.51
407,52.59
408,52.57
409,52.52
410,52.6
411,52.79
412,52.67
413,52.63
414,52.73
415,52.82
416,52.78
417,52.79
418,52.74
419,52.71
420,52.7
421,52.74
422,52.6
423,52.65
424,52.57
425,52.43
426,52.46
427,52.51
428,52.52
429,52.57
430,52.66
431,52.67
432,52.7
433,52.63
434,52.57
435,52.56
436,52.59
437,52.61
438,52.63
439,52.59
440,52.63
441,52.76
442,52.72
443,52.72
444,52.7
445,52.8
446,52.84
447,52.85
448,52.88
449,52.96
450,52.96
451,52.89
452,52.89
453,52.88
454,52.84
455,52.83
456,52.86
457,52.89
458,52.82
459,52.79
460,52.84
461,52.84
462,52.82
463,52.83
464,52.82
465,52.79
466,52.83
467,52.72
468,52.75
469,52.69
470,52.72
471,52.76
472,52.77
