,close
0,0.8322
1,0.8304
2,0.8308
3,0.8304
4,0.8309
5,0.8304
6,0.8297
7,0.8302
8,0.8304
9,0.8296
10,0.8305
11,0.8288
12,0.8279
13,0.8274
14,0.8274
15,0.8284
16,0.8277
17,0.8278
18,0.8286
19,0.8274
20,0.8278
21,0.8279
22,0.8279
23,0.829
24,0.8296
25,0.8278
26,0.8291
27,0.831
28,0.8318
29,0.8312
30,0.8313
31,0.8312
32,0.8317
33,0.8322
34,0.8334
35,0.8351
36,0.8348
37,0.8336
38,0.8331
39,0.834
40,0.8335
41,0.8342
42,0.8347
43,0.8363
44,0.8365
45,0.8387
46,0.8398
47,0.8372
48,0.837
49,0.8361
50,0.8374
51,0.8382
52,0.8373
53,0.8326
54,0.8332
55,0.8329
56,0.8322
57,0.8322
58,0.8324
59,0.8344
60,0.8332
61,0.8334
62,0.8343
63,0.832
64,0.8318
65,0.8324
66,0.8328
67,0.8324
68,0.8351
69,0.8341
70,0.8345
71,0.8323
72,0.8329
73,0.8319
74,0.8326
75,0.8331
76,0.8304
77,0.8303
78,0.83
79,0.83
80,0.8296
81,0.8302
82,0.8298
83,0.8295
84,0.8302
85,0.832
86,0.8314
87,0.8326
88,0.8356
89,0.8356
90,0.8346
91,0.835
92,0.8347
93,0.834
94,0.8343
95,0.8322
96,0.8307
97,0.831
98,0.8308
99,0.8318
100,0.831
101,0.8316
102,0.8296
103,0.8288
104,0.8298
105,0.8286
106,0.8295
107,0.8297
108,0.8296
109,0.8303
110,0.8311
111,0.8305
112,0.8298
113,0.8291
114,0.8303
115,0.8309
116,0.8303
117,0.8296
118,0.8292
119,0.8269
120,0.8247
121,0.8266
122,0.8278
123,0.8271
124,0.8266
125,0.8268
126,0.8264
127,0.8267
128,0.8281
129,0.8285
130,0.8278
131,0.8271
132,0.8262
133,0.8261
134,0.8273
135,0.8276
136,0.8287
137,0.8294
138,0.8295
139,0.8299
140,0.8304
141,0.8316
142,0.8313
143,0.8305
144,0.8302
145,0.8302
146,0.8298
147,0.8285
148,0.8289
149,0.8288
150,0.829
151,0.8293
152,0.8296
153,0.8271
154,0.8215
155,0.8229
156,0.8232
157,0.8222
158,0.8223
159,0.8217
160,0.8218
161,0.824
162,0.8242
163,0.825
164,0.8246
165,0.8226
166,0.8253
167,0.8224
168,0.8228
169,0.824
170,0.8258
171,0.8259
172,0.8253
173,0.8253
174,0.8273
175,0.8273
176,0.8267
177,0.8268
178,0.8272
179,0.8292
180,0.8308
181,0.8318
182,0.8351
183,0.8341
184,0.8338
185,0.8352
186,0.8363
187,0.8359
188,0.8341
189,0.8345
190,0.8374
191,0.8356
192,0.8345
193,0.8354
194,0.8352
195,0.8361
196,0.8367
197,0.8364
198,0.8346
199,0.8338
200,0.8346
201,0.8344
202,0.8336
203,0.8332
204,0.834
205,0.8332
206,0.8323
207,0.8314
208,0.8321
209,0.834
210,0.8376
211,0.8401
212,0.841
213,0.8429
214,0.8415
215,0.8431
216,0.8436
217,0.8417
218,0.8433
219,0.843
220,0.8421
221,0.8416
222,0.8407
223,0.8421
224,0.8426
225,0.844
226,0.8446
227,0.8444
228,0.8438
229,0.8449
230,0.8438
231,0.8441
232,0.8441
233,0.8449
234,0.845
235,0.8427
236,0.8419
237,0.8417
238,0.8423
239,0.8424
240,0.8431
241,0.8434
242,0.8449
243,0.8447
244,0.845
245,0.8459
246,0.8454
247,0.8435
248,0.8431
249,0.8429
250,0.8442
251,0.8445
252,0.8458
253,0.8487
254,0.855
255,0.8524
256,0.8566
257,0.8622
258,0.8725
259,0.8744
260,0.8766
261,0.8873
262,0.8855
263,0.8886
264,0.8942
265,0.891
266,0.8959
267,0.8959
268,0.8946
269,0.8986
270,0.8961
271,0.8933
272,0.8967
273,0.8993
274,0.9016
275,0.9003
276,0.9011
277,0.9001
278,0.9037
279,0.907
280,0.9014
281,0.9015
282,0.9028
283,0.9056
284,0.908
285,0.9051
286,0.9029
287,0.9017
288,0.9019
289,0.9016
290,0.9029
291,0.9024
292,0.9004
293,0.8979
294,0.896
295,0.8962
296,0.8964
297,0.8942
298,0.8926
299,0.8918
300,0.8914
301,0.8904
302,0.8904
303,0.8924
304,0.8938
305,0.8942
306,0.8964
307,0.8958
308,0.8963
309,0.8952
310,0.8934
311,0.8934
312,0.898
313,0.8959
314,0.8955
315,0.8945
316,0.8919
317,0.8917
318,0.8937
319,0.8933
320,0.8934
321,0.8916
322,0.8908
323,0.8911
324,0.8909
325,0.889
326,0.8882
327,0.8871
328,0.8877
329,0.8885
330,0.8873
331,0.8873
332,0.8884
333,0.8858
334,0.8854
335,0.8858
336,0.8836
337,0.8836
338,0.8821
339,0.882
340,0.8801
341,0.8788
342,0.8798
343,0.8775
344,0.8756
345,0.8734
346,0.8761
347,0.879
348,0.8796
349,0.879
350,0.8777
351,0.8814
352,0.8809
353,0.8805
354,0.8838
355,0.8844
356,0.8839
357,0.8828
358,0.8817
359,0.8809
360,0.8801
361,0.8864
362,0.8847
363,0.8849
364,0.8821
365,0.8808
366,0.882
367,0.8784
368,0.8815
369,0.8814
370,0.8824
371,0.8818
372,0.8804
373,0.8809
374,0.8807
375,0.8812
376,0.8795
377,0.8799
378,0.8814
379,0.8814
380,0.8828
381,0.8828
382,0.8809
383,0.8819
384,0.8803
385,0.8799
386,0.8803
387,0.8838
388,0.8843
389,0.888
390,0.8868
391,0.8878
392,0.8929
393,0.891
394,0.8911
395,0.8914
396,0.8915
397,0.8937
398,0.8965
399,0.8963
400,0.8978
401,0.8948
402,0.893
403,0.8924
404,0.8929
405,0.8928
406,0.8903
407,0.892
408,0.893
409,0.8949
410,0.8955
411,0.8943
412,0.8958
413,0.8961
414,0.8992
415,0.8963
416,0.8962
417,0.8955
418,0.8949
419,0.8921
420,0.8905
421,0.8891
422,0.8893
423,0.8922
424,0.8919
425,0.8926
426,0.8914
427,0.8892
428,0.8886
429,0.8884
430,0.8904
431,0.892
432,0.892
433,0.8906
434,0.8997
435,0.8908
436,0.8944
437,0.8957
438,0.8941
439,0.8871
440,0.8834
441,0.8868
442,0.8818
443,0.8771
444,0.878
445,0.8747
446,0.8832
447,0.88
448,0.8803
449,0.8864
450,0.8884
451,0.8899
452,0.8845
453,0.8858
454,0.8841
455,0.8855
456,0.884
457,0.8833
458,0.8868
459,0.8876
460,0.8849
461,0.8884
462,0.8952
463,0.8926
464,0.8925
465,0.8924
466,0.8928
467,0.8924
468,0.8914
469,0.8894
470,0.8908
471,0.8918
472,0.8903
473,0.8908
474,0.8914
475,0.8919
476,0.8912
477,0.8907
478,0.89
