,close
0,34.66
1,34.8
2,34.87
3,34.79
4,34.69
5,34.68
6,34.81
7,34.81
8,35.12
9,35.22
10,35.25
11,35.47
12,35.59
13,35.43
14,35.86
15,36.09
16,36.22
17,36.39
18,36.97
19,37.45
20,37.69
21,37.95
22,37.88
23,38.05
24,37.8
25,37.77
26,37.83
27,37.69
28,37.59
29,37.61
30,38.02
31,37.92
32,37.96
33,37.9
34,38.01
35,38.06
36,38.08
37,37.93
38,37.58
39,37.61
40,37.56
41,37.54
42,37.32
43,37.2
44,36.87
45,37.34
46,37.39
47,37.27
48,37.36
49,37.31
50,37.13
51,37.59
52,37.51
53,37.53
54,37.39
55,37.69
56,37.73
57,37.68
58,37.73
59,37.65
60,37.58
61,37.59
62,37.67
63,37.77
64,37.57
65,37.4
66,37.69
67,37.43
68,37.3
69,37.34
70,37.44
71,37.29
72,37.37
73,37.35
74,37.31
75,37.46
76,37.38
77,36.9
78,36.98
79,37.05
80,37.12
81,37.04
82,36.94
83,37.16
84,37.14
85,37.93
86,37.89
87,37.92
88,37.88
89,37.96
90,38.08
91,38.71
92,38.45
93,38.68
94,38.4
95,38.22
96,38.41
97,38.5
98,38.53
99,38.39
100,38.68
101,38.74
102,38.5
103,38.33
104,38.25
105,38.52
106,38.58
107,38.58
108,38.37
109,38.4
110,38.3
111,38.27
112,38.44
113,38.59
114,38.55
115,38.35
116,38.34
117,38.43
118,38.61
119,38.56
120,38.73
121,38.8
122,38.45
123,38.43
124,38.44
125,38.81
126,36.31
127,35.93
128,35.67
129,35.38
130,35.7
131,35.43
132,35.56
133,35.43
134,35.02
135,34.92
136,34.88
137,34.56
138,34.72
139,34.73
140,34.96
141,34.69
142,35.04
143,35.03
144,35.1
145,35.28
146,35.12
147,34.95
148,34.87
149,34.76
150,34.65
151,34.29
152,33.74
153,33.9
154,34.09
155,34.12
156,34.16
157,34.15
158,34.25
159,33.89
160,34.02
161,33.9
162,33.64
163,33.9
164,33.53
165,33.72
166,33.52
167,33.4
168,33.2
169,32.98
170,33.14
171,33.0
172,33.13
173,33.14
174,33.12
175,33.24
176,33.38
177,33.4
178,33.32
179,33.48
180,33.58
181,33.51
182,33.57
183,33.74
184,33.7
185,33.8
186,33.65
187,33.55
188,33.59
189,33.52
190,33.72
191,33.87
192,33.77
193,33.8
194,33.81
195,33.59
196,33.57
197,33.58
198,33.44
199,33.32
200,33.49
201,33.36
202,33.3
203,33.16
204,33.06
205,33.02
206,33.49
207,33.55
208,33.44
209,33.54
210,33.51
211,33.5
212,33.5
213,33.53
214,33.58
215,33.57
216,33.47
217,33.29
218,33.33
219,33.19
220,33.03
221,33.19
222,33.52
223,33.46
224,33.6
225,33.55
226,33.43
227,33.55
228,33.55
229,33.17
230,33.53
231,33.5
232,33.59
233,33.52
234,33.61
235,33.54
236,33.37
237,33.23
238,33.47
239,33.37
240,33.41
241,33.6
242,33.51
243,33.39
244,32.89
245,33.32
246,33.22
247,33.1
248,33.2
249,33.2
250,33.45
251,33.48
252,33.39
253,33.4
254,33.46
255,33.4
256,33.32
257,33.36
258,33.55
259,34.12
260,34.14
261,34.0
262,34.27
263,34.1
264,34.09
265,33.98
266,34.01
267,34.1
268,34.05
269,34.04
270,33.82
271,33.92
272,33.5
273,33.76
274,33.72
275,33.88
276,33.79
277,33.43
278,33.51
279,33.48
280,32.92
281,33.11
282,33.04
283,33.08
284,33.04
285,33.06
286,33.01
287,33.1
288,33.07
289,33.24
290,33.34
291,33.38
292,32.96
293,33.19
294,33.6
295,33.87
296,34.22
297,34.55
298,34.4
299,34.69
300,34.65
301,34.25
302,33.88
303,33.98
304,33.94
305,33.8
306,33.9
307,33.69
308,33.91
309,33.96
310,33.82
311,33.81
312,33.77
313,33.98
314,33.9
315,33.93
316,33.89
317,33.75
318,33.71
319,33.86
320,33.76
321,33.52
322,33.68
323,33.81
324,33.83
325,33.52
326,33.16
327,33.06
328,32.92
329,32.93
330,33.04
331,32.88
332,32.92
333,33.15
334,33.2
335,33.22
336,33.32
337,33.61
338,33.44
339,33.45
340,33.34
341,33.56
342,33.54
343,33.38
344,33.3
345,33.26
346,33.44
347,33.46
348,33.75
349,33.6
350,33.55
351,33.62
352,33.61
353,33.47
354,33.41
355,33.34
356,33.25
357,32.99
358,33.04
359,33.0
360,33.1
361,33.16
362,33.06
363,33.06
364,33.14
365,32.98
366,33.21
367,33.05
368,33.06
369,33.06
370,32.95
371,32.75
372,32.72
373,32.56
374,32.71
375,32.62
376,32.76
377,32.78
378,32.85
379,32.96
380,32.97
381,33.06
382,32.96
383,32.92
384,33.0
385,32.96
386,32.93
387,32.98
388,32.94
389,33.04
390,32.95
391,32.92
392,32.88
393,32.91
394,32.84
395,32.77
396,32.67
397,32.61
398,32.42
399,32.55
400,32.56
401,32.64
402,32.67
403,32.67
404,32.8
405,32.94
406,32.88
407,32.88
408,32.94
409,33.06
410,33.06
411,32.91
412,32.76
413,32.77
414,32.6
415,32.68
416,32.76
417,32.49
418,32.04
419,32.35
420,32.12
421,32.41
422,32.32
