,close
0,0.46005
1,0.46056
2,0.46099
3,0.46071
4,0.46122
5,0.46019
6,0.46024
7,0.46106
8,0.46117
9,0.46102
10,0.4619
11,0.46266
12,0.461
13,0.46178
14,0.46184
15,0.46048
16,0.45936
17,0.45951
18,0.4587
19,0.45862
20,0.45896
21,0.45858
22,0.45725
23,0.45725
24,0.45779
25,0.45787
26,0.4587
27,0.4583
28,0.45818
29,0.46027
30,0.45974
31,0.45848
32,0.45828
33,0.45796
34,0.45867
35,0.45837
36,0.45818
37,0.45805
38,0.45814
39,0.4595
40,0.4595
41,0.45913
42,0.45896
43,0.45916
44,0.45919
45,0.45833
46,0.45792
47,0.45826
48,0.45838
49,0.4583
50,0.45659
51,0.45665
52,0.45717
53,0.45689
54,0.45686
55,0.45836
56,0.4579
57,0.45721
58,0.45693
59,0.45703
60,0.45723
61,0.4573
62,0.45781
63,0.45799
64,0.45899
65,0.45919
66,0.45888
67,0.45879
68,0.45919
69,0.45919
70,0.4592
71,0.45926
72,0.45885
73,0.45879
74,0.45913
75,0.45976
76,0.4602
77,0.4601
78,0.46005
79,0.45906
80,0.45903
81,0.4587
82,0.4585
83,0.45877
84,0.45914
85,0.45924
86,0.45973
87,0.4594
88,0.45944
89,0.45928
90,0.45919
91,0.45943
92,0.45944
93,0.46033
94,0.46046
95,0.46047
96,0.46166
97,0.46141
98,0.46169
99,0.46199
100,0.4613
101,0.46109
102,0.4614
103,0.46159
104,0.46129
105,0.46257
106,0.46395
107,0.46343
108,0.46577
109,0.46672
110,0.467
111,0.46658
112,0.46506
113,0.46526
114,0.46507
115,0.46528
116,0.46512
117,0.46517
118,0.46642
119,0.46518
120,0.46356
121,0.46496
122,0.46475
123,0.46428
124,0.46453
125,0.46457
126,0.4657
127,0.46724
128,0.46689
129,0.46943
130,0.46984
131,0.47004
132,0.46934
133,0.4695
134,0.46838
135,0.46761
136,0.466
137,0.46569
138,0.46571
139,0.46591
140,0.46618
141,0.46625
142,0.46559
143,0.46579
144,0.46677
145,0.4669
146,0.46695
147,0.46653
148,0.4665
149,0.46548
150,0.466
151,0.46622
152,0.46538
153,0.46561
154,0.46613
155,0.4666
156,0.4666
157,0.46653
158,0.46624
159,0.46432
160,0.46378
161,0.46362
162,0.46471
163,0.46281
164,0.46253
165,0.46196
166,0.4623
167,0.46238
168,0.46196
169,0.46287
170,0.46325
171,0.46341
172,0.46314
173,0.4635
174,0.46341
175,0.46239
176,0.46201
177,0.46168
178,0.46201
179,0.46119
180,0.46199
181,0.46201
182,0.4619
183,0.46165
184,0.4616
185,0.46222
186,0.46164
187,0.46189
188,0.46189
189,0.46151
190,0.46201
191,0.46317
192,0.46247
193,0.46284
194,0.46267
195,0.46278
196,0.46249
197,0.46267
198,0.46326
199,0.46376
200,0.46431
201,0.4641
202,0.46368
203,0.4645
204,0.46429
205,0.4642
206,0.464
207,0.46393
208,0.46426
209,0.46427
210,0.46502
211,0.46549
212,0.46515
213,0.46502
214,0.46513
215,0.4655
216,0.46528
217,0.46531
218,0.4645
219,0.46422
220,0.46452
221,0.46432
222,0.46418
223,0.46437
224,0.465
225,0.46534
226,0.46575
227,0.46597
228,0.4659
229,0.46609
230,0.46625
231,0.46584
232,0.46418
233,0.46526
234,0.46554
235,0.46541
236,0.4652
237,0.46428
238,0.4631
239,0.46268
240,0.46292
241,0.46195
242,0.46182
243,0.46235
244,0.46229
245,0.46229
246,0.461
247,0.46023
248,0.46021
249,0.45999
250,0.4604
251,0.46081
252,0.4606
253,0.4602
254,0.4585
255,0.45951
256,0.46077
257,0.4611
258,0.46169
259,0.46292
260,0.4648
261,0.46368
262,0.46371
263,0.46333
264,0.46202
265,0.46224
266,0.4623
267,0.46174
268,0.46097
269,0.46089
270,0.46137
271,0.46143
272,0.46124
273,0.46058
274,0.46163
275,0.46082
276,0.46109
277,0.4619
278,0.46115
279,0.4611
280,0.4606
281,0.46034
282,0.46023
283,0.45997
284,0.45968
285,0.45997
286,0.45961
287,0.45975
288,0.46008
289,0.46037
290,0.4598
291,0.45993
292,0.45986
293,0.46024
294,0.45944
295,0.45945
296,0.45915
297,0.45984
298,0.45972
299,0.45956
300,0.45953
301,0.45986
302,0.45888
303,0.45859
304,0.45851
305,0.45902
306,0.45936
307,0.45927
308,0.45926
309,0.45857
310,0.4587
311,0.46128
312,0.46089
313,0.46043
314,0.46013
315,0.46026
316,0.45924
317,0.45929
318,0.45969
319,0.46007
320,0.46
321,0.45973
322,0.45986
323,0.45911
324,0.45887
325,0.45857
326,0.45908
327,0.45899
328,0.45882
329,0.45875
330,0.45823
331,0.45597
332,0.45536
333,0.45615
334,0.45648
335,0.4565
336,0.45484
337,0.45514
338,0.45381
339,0.45376
340,0.45297
341,0.45323
342,0.45293
343,0.45252
344,0.45363
345,0.45352
346,0.45327
347,0.45276
348,0.45363
349,0.45433
350,0.45385
351,0.45425
352,0.4537
353,0.45501
354,0.45368
355,0.45375
356,0.45362
357,0.45548
358,0.45627
359,0.4559
360,0.45601
361,0.45674
362,0.45686
363,0.45571
364,0.4555
365,0.45525
366,0.45552
367,0.4568
368,0.45706
369,0.45736
370,0.4567
371,0.45772
372,0.45729
373,0.457
374,0.45698
375,0.45724
376,0.45746
377,0.45736
378,0.45733
379,0.45868
380,0.45824
381,0.45774
382,0.45756
383,0.45726
384,0.45707
385,0.45703
386,0.45735
387,0.45607
388,0.45578
389,0.45572
390,0.45531
391,0.45387
392,0.45436
393,0.45449
394,0.45596
395,0.45624
396,0.45553
397,0.45538
398,0.45663
399,0.45682
400,0.45663
401,0.45738
402,0.45726
403,0.45826
404,0.46235
405,0.46443
406,0.46324
407,0.46395
408,0.46496
409,0.464
410,0.46383
411,0.46416
412,0.46281
413,0.46294
414,0.46243
415,0.46251
416,0.46188
417,0.46273
418,0.463
419,0.46296
420,0.46401
421,0.46444
422,0.46492
423,0.46579
424,0.46513
425,0.46721
426,0.4671
427,0.46652
428,0.46597
429,0.46563
430,0.46595
431,0.46443
432,0.46476
433,0.4644
434,0.46334
435,0.4633
436,0.46394
437,0.46418
438,0.46369
439,0.46452
440,0.46451
441,0.46362
442,0.46419
443,0.46397
444,0.46285
445,0.4617
446,0.46258
447,0.46016
448,0.46118
449,0.46203
450,0.46327
451,0.46539
452,0.46609
453,0.46526
454,0.46513
455,0.46618
456,0.4665
457,0.46784
458,0.47198
459,0.47044
460,0.47065
461,0.4695
462,0.46892
463,0.46887
464,0.4692
465,0.4705
466,0.47022
467,0.46979
468,0.46861
469,0.46861
470,0.46861
471,0.46902
472,0.46897
473,0.46902
474,0.4691
475,0.46798
476,0.46793
477,0.46819
478,0.46975
479,0.47187
480,0.47009
481,0.46859
482,0.46821
483,0.46716
484,0.46753
485,0.46759
486,0.46706
487,0.46441
488,0.46497
489,0.46559
490,0.46432
491,0.46354
492,0.46306
493,0.46343
494,0.4625
495,0.4625
496,0.46377
497,0.46366
498,0.46294
499,0.46269
500,0.46274
501,0.46291
502,0.4626
503,0.46173
504,0.46196
505,0.45885
506,0.45811
507,0.45751
508,0.45781
509,0.45763
510,0.45696
511,0.45705
512,0.45695
513,0.45599
514,0.45687
515,0.45645
516,0.45645
517,0.45661
518,0.45751
519,0.45712
520,0.45711
521,0.45775
522,0.45778
523,0.458
524,0.45801
525,0.45805
526,0.45805
527,0.45882
528,0.45874
529,0.45638
530,0.45538
531,0.45493
532,0.45531
533,0.45627
534,0.45585
535,0.45579
536,0.45671
537,0.45683
538,0.45674
539,0.45694
540,0.457
541,0.45731
542,0.45629
543,0.45586
544,0.45587
545,0.45585
546,0.45605
547,0.45453
548,0.45421
549,0.45476
550,0.45443
551,0.45501
552,0.45563
553,0.45565
554,0.45682
555,0.45677
556,0.45639
557,0.45625
558,0.45608
559,0.45512
560,0.45495
561,0.45434
562,0.45417
563,0.45468
564,0.45449
565,0.45459
566,0.45505
567,0.45459
568,0.45432
569,0.45379
570,0.45383
571,0.45244
572,0.453
573,0.45424
574,0.45437
575,0.4546
576,0.455
577,0.45549
578,0.45661
579,0.45663
580,0.45659
581,0.4561
582,0.45699
583,0.4582
584,0.45821
585,0.45868
586,0.45881
587,0.45852
588,0.45712
589,0.45728
590,0.45773
591,0.45746
592,0.45786
593,0.45646
594,0.45667
595,0.45598
596,0.45566
597,0.45535
598,0.45571
599,0.45751
600,0.45789
601,0.45803
602,0.45797
603,0.45804
604,0.45736
605,0.45812
606,0.45905
607,0.45815
608,0.45765
609,0.45538
610,0.45491
611,0.45519
612,0.45549
613,0.4555
614,0.45611
615,0.45618
616,0.45595
617,0.45613
618,0.45723
619,0.45613
620,0.45573
621,0.45674
622,0.45568
623,0.45724
624,0.45684
625,0.45623
626,0.45559
627,0.45466
628,0.45524
629,0.45202
630,0.44808
631,0.44964
632,0.45185
633,0.45377
634,0.45258
635,0.45273
636,0.45377
637,0.45405
638,0.45414
639,0.45428
640,0.45459
641,0.4549
642,0.45368
643,0.45349
644,0.45376
645,0.45456
646,0.4544
647,0.45413
648,0.45487
649,0.45561
650,0.45515
651,0.455
652,0.4553
653,0.45534
654,0.45656
655,0.45616
656,0.45498
657,0.45513
658,0.4552
659,0.45506
660,0.45528
661,0.45475
662,0.45549
663,0.45573
664,0.45573
665,0.45494
666,0.45409
667,0.45436
668,0.4547
669,0.45641
670,0.45655
671,0.45668
