,close
0,0.79949
1,0.800487
2,0.785084
3,0.789284
4,0.785338
5,0.788626
6,0.789572
7,0.790423
8,0.8053
9,0.806411
10,0.803679
11,0.81074
12,0.80988
13,0.809403
14,0.804778
15,0.799166
16,0.799288
17,0.795846
18,0.797859
19,0.794085
20,0.793628
21,0.789722
22,0.789636
23,0.792534
24,0.79273
25,0.794002
26,0.801104
27,0.803064
28,0.802903
29,0.793264
30,0.795448
31,0.791872
32,0.792802
33,0.794332
34,0.793736
35,0.788474
36,0.787905
37,0.788957
38,0.790682
39,0.791246
40,0.79526
41,0.790949
42,0.799437
43,0.799827
44,0.805163
45,0.805305
46,0.807179
47,0.813547
48,0.802956
49,0.804531
50,0.802124
51,0.799941
52,0.797729
53,0.805294
54,0.821708
55,0.801299
56,0.797295
57,0.800212
58,0.804056
59,0.802061
60,0.811439
61,0.813357
62,0.810334
63,0.810841
64,0.810549
65,0.81333
66,0.822032
67,0.818521
68,0.814562
69,0.814042
70,0.809807
71,0.825
72,0.830213
73,0.826438
74,0.825035
75,0.838751
76,0.836298
77,0.837157
78,0.845887
79,0.848151
80,0.857458
81,0.848861
82,0.841994
83,0.842878
84,0.850231
85,0.843552
86,0.840644
87,0.841483
88,0.84947
89,0.853536
90,0.845
91,0.842434
92,0.842667
93,0.841257
94,0.835641
95,0.837867
96,0.833513
97,0.8386
98,0.838984
99,0.836535
100,0.827242
101,0.834814
102,0.828801
103,0.827796
104,0.828865
105,0.833913
106,0.830996
107,0.826499
108,0.82651
109,0.826576
110,0.824946
111,0.826098
112,0.829238
113,0.8324
114,0.835381
115,0.842848
116,0.854492
117,0.85305
118,0.851002
119,0.857207
120,0.855063
121,0.851761
122,0.848731
123,0.852302
124,0.860784
125,0.870315
126,0.863797
127,0.866314
128,0.868891
129,0.868814
130,0.872399
131,0.863775
132,0.866948
133,0.862304
134,0.861518
135,0.872604
136,0.879312
137,0.878119
138,0.891315
139,0.895108
140,0.896852
141,0.895355
142,0.910664
143,0.9115
144,0.907783
145,0.900855
146,0.894673
147,0.902848
148,0.893536
149,0.890998
150,0.88715
151,0.899055
152,0.897844
153,0.906451
154,0.90355
155,0.901633
156,0.902141
157,0.894941
158,0.89512
159,0.887364
160,0.886319
161,0.882918
162,0.878259
163,0.875547
164,0.875722
165,0.867754
166,0.871917
167,0.881086
168,0.876216
169,0.880002
170,0.885392
171,0.877294
172,0.886476
173,0.879914
174,0.869067
175,0.875221
176,0.877406
177,0.88506
178,0.883183
179,0.889986
180,0.888932
181,0.896037
182,0.89878
183,0.896609
184,0.89956
185,0.897723
186,0.897845
187,0.91
188,0.917552
189,0.920254
190,0.908366
191,0.905374
192,0.903167
193,0.907399
194,0.906885
195,0.918219
196,0.914856
197,0.9125
198,0.922864
199,0.929117
200,0.945837
201,0.944979
202,0.937064
203,0.938274
204,0.942099
205,0.946443
206,0.947419
207,0.9567
208,0.955058
209,0.97887
210,0.974503
211,0.970199
212,0.967712
