,close
0,0.0861589
1,0.0856293
2,0.0837163
3,0.0834651
4,0.083598
5,0.0840075
6,0.0837028
7,0.0839684
8,0.082956
9,0.0829072
10,0.0829256
11,0.0837718
12,0.0838676
13,0.0840337
14,0.0839935
15,0.083989
16,0.0844646
17,0.0845977
18,0.0849636
19,0.0848662
20,0.0847463
21,0.0847445
22,0.0846682
23,0.0848128
24,0.0850578
25,0.0857829
26,0.0853946
27,0.0854922
28,0.0859423
29,0.0853636
30,0.084917
31,0.084558
32,0.0850658
33,0.0854222
34,0.0855493
35,0.0854926
36,0.0847561
37,0.0849561
38,0.0848392
39,0.0853459
40,0.085163
41,0.085
42,0.0846252
43,0.084566
44,0.0855119
45,0.0868562
46,0.0865291
47,0.0870922
48,0.0873001
49,0.0863562
50,0.0864504
51,0.0866442
52,0.0867337
53,0.0866656
54,0.0866754
55,0.08652
56,0.0864044
57,0.0861007
58,0.0858394
59,0.0856874
60,0.0857723
61,0.0854655
62,0.0839471
63,0.0842123
64,0.0840942
65,0.0840468
66,0.0841027
67,0.0837833
68,0.0841836
69,0.083851
70,0.0834994
71,0.083581
72,0.0834323
73,0.0837246
74,0.0835568
75,0.0832
76,0.08348
77,0.0837579
78,0.0840077
79,0.084168
80,0.084321
81,0.084624
82,0.085381
83,0.0859648
84,0.0859896
85,0.0870217
86,0.086266
87,0.0857147
88,0.0859919
89,0.0856399
90,0.0858578
91,0.0860714
92,0.0862763
93,0.0862877
94,0.0859357
95,0.0859409
96,0.0864428
97,0.0862081
98,0.0861614
99,0.0864334
100,0.086197
101,0.0864892
102,0.0859968
103,0.0861995
104,0.0866862
105,0.0874519
106,0.087354
107,0.0870306
108,0.0870283
109,0.0868357
110,0.0867654
111,0.086455
112,0.0857387
113,0.0864083
114,0.0860699
115,0.0863111
116,0.0857483
117,0.085765
118,0.0861891
119,0.0866439
120,0.0873127
121,0.0869923
122,0.086702
123,0.0864421
124,0.0861118
125,0.086042
126,0.0856245
127,0.0858592
128,0.0857679
129,0.0856042
130,0.0856671
131,0.0853405
