,close
0,2547.01
1,2559.38
2,2505.44
3,2515.35
4,2519.9
5,2530.07
6,2525.43
7,2535.7
8,2569.22
9,2569.14
10,2575.13
11,2589.0
12,2593.65
13,2597.65
14,2593.63
15,2580.38
16,2574.01
17,2578.13
18,2586.49
19,2572.0
20,2560.0
21,2537.62
22,2531.16
23,2534.81
24,2527.79
25,2541.26
26,2569.77
27,2590.76
28,2587.69
29,2545.32
30,2563.39
31,2543.24
32,2547.99
33,2550.41
34,2545.68
35,2531.27
36,2518.41
37,2530.12
38,2536.39
39,2535.38
40,2549.86
41,2535.54
42,2560.0
43,2573.89
44,2603.97
45,2601.27
46,2628.91
47,2657.54
48,2625.01
49,2633.99
50,2625.0
51,2619.72
52,2611.94
53,2643.52
54,2690.52
55,2621.6
56,2620.01
57,2627.74
58,2647.84
59,2646.86
60,2678.8
61,2685.0
62,2676.05
63,2690.86
64,2673.62
65,2682.23
66,2710.59
67,2705.81
68,2691.42
69,2701.69
70,2679.13
71,2752.55
72,2773.79
73,2766.56
74,2748.08
75,2775.03
76,2768.49
77,2774.41
78,2776.8
79,2765.99
80,2773.34
81,2760.81
82,2752.06
83,2756.23
84,2770.97
85,2768.61
86,2773.5
87,2775.53
88,2807.74
89,2820.97
90,2800.75
91,2802.04
92,2797.18
93,2809.6
94,2814.65
95,2828.0
96,2807.99
97,2820.0
98,2820.82
99,2814.58
100,2776.18
101,2786.54
102,2782.89
103,2780.92
104,2780.99
105,2803.47
106,2798.51
107,2794.71
108,2801.39
109,2795.89
110,2796.8
111,2796.78
112,2807.59
113,2812.0
114,2844.0
115,2900.28
116,2923.4
117,2937.28
118,2934.57
119,2965.0
120,2950.0
121,2953.19
122,2933.4
123,2940.01
124,2968.13
125,2958.78
126,2953.38
127,2950.11
128,2947.37
129,2935.17
130,2938.0
131,2923.74
132,2935.52
133,2944.31
134,2941.57
135,2947.75
136,2973.67
137,2952.05
138,2963.87
139,2971.2
140,2974.72
141,2959.04
142,2959.63
143,2951.34
144,2952.38
145,2950.14
146,2936.48
147,2952.0
148,2941.96
149,2930.0
150,2920.34
151,2934.41
152,2920.82
153,2931.95
154,2924.73
155,2927.12
156,2927.3
157,2921.15
158,2917.19
159,2887.18
160,2895.18
161,2874.83
162,2861.13
163,2856.0
164,2849.76
165,2825.3
166,2844.79
167,2875.27
168,2877.47
169,2880.37
170,2876.59
171,2862.81
172,2873.33
173,2863.18
174,2844.52
175,2846.42
176,2847.16
177,2870.4
178,2860.46
179,2891.02
180,2883.04
181,2915.12
182,2914.12
183,2908.54
184,2915.52
185,2916.24
186,2921.83
187,2955.88
188,2907.82
189,2921.11
190,2905.77
191,2920.02
192,2911.37
193,2921.8
194,2909.32
195,2893.0
196,2904.55
197,2899.15
198,2965.23
199,3005.87
200,3028.07
201,3013.75
202,2981.01
203,2996.59
204,3015.38
205,3007.73
206,3021.49
207,3020.92
208,3010.78
209,3005.0
210,3009.9
211,3006.84
212,3000.15
213,3008.0
214,3002.05
215,2986.12
216,3001.61
217,3015.11
218,2996.82
219,2970.54
220,2973.72
221,2959.07
222,2980.33
223,2949.68
224,2940.37
225,2951.5
226,2957.66
227,2951.22
228,2957.7
229,2956.42
230,2961.21
231,2950.52
232,2966.14
233,2954.71
234,3004.2
235,3036.81
236,3016.06
237,2965.85
238,2955.23
239,2965.21
240,2982.22
241,3000.5
242,3009.0
243,3036.71
244,3051.89
245,3028.37
246,3034.56
247,3021.0
248,3028.04
249,3049.78
250,3058.63
251,3040.39
252,3049.9
253,3050.76
254,3054.6
255,3047.13
256,3016.19
257,3028.82
258,3079.76
259,3116.59
260,3111.86
261,3100.13
262,3109.28
263,3109.62
264,3104.86
265,3111.01
266,3115.0
267,3112.4
268,3106.2
269,3125.91
270,3123.2
271,3135.38
272,3144.99
273,3127.27
274,3142.67
275,3130.73
276,3126.91
277,3139.31
278,3147.26
279,3169.69
280,3185.69
281,3177.77
282,3173.07
283,3120.0
284,3134.03
285,3104.09
286,3124.8
287,3115.0
288,3128.32
289,3123.7
290,3099.61
291,3103.64
292,3093.57
293,3109.13
294,3102.63
295,3110.79
296,3114.5
297,3127.37
298,3120.83
299,3138.53
300,3131.39
301,3128.85
302,3125.4
303,3126.15
304,3124.92
305,3115.23
306,3117.97
307,3119.89
308,3124.8
309,3121.56
310,3126.5
311,3124.08
312,3144.0
313,3139.76
314,3137.79
315,3146.59
316,3151.83
317,3151.82
318,3156.0
319,3146.15
320,3140.27
321,3141.61
322,3150.1
323,3156.82
324,3146.02
325,3145.0
326,3149.54
327,3145.28
328,3130.01
329,3146.0
330,3149.27
331,3172.49
332,3181.95
333,3181.65
334,3181.5
335,3176.8
336,3238.39
337,3275.61
338,3270.6
339,3297.07
340,3292.0
341,3292.94
342,3304.23
343,3313.19
344,3319.02
345,3325.21
346,3320.01
347,3320.66
348,3323.9
349,3337.82
350,3349.6
351,3347.21
352,3338.99
353,3380.2
354,3390.2
355,3358.33
356,3362.46
357,3389.0
358,3417.18
359,3413.27
360,3417.28
361,3382.73
362,3371.47
363,3331.61
364,3365.11
365,3390.41
366,3376.18
367,3370.34
368,3390.7
369,3406.19
370,3417.02
371,3387.11
372,3414.1
373,3425.61
374,3437.04
375,3467.2
376,3463.72
377,3445.62
378,3449.14
379,3403.43
380,3424.53
381,3403.63
382,3415.15
383,3428.0
384,3397.58
385,3377.23
386,3388.03
387,3404.96
388,3374.29
389,3346.26
390,3370.88
391,3384.63
392,3372.7
393,3406.01
394,3405.88
395,3409.16
396,3404.42
397,3389.31
398,3396.63
399,3409.02
400,3401.97
401,3371.08
402,3372.9
403,3381.51
404,3396.24
405,3439.28
406,3398.0
407,3395.0
408,3413.72
409,3389.53
410,3388.78
411,3387.05
412,3401.67
413,3424.0
414,3407.35
415,3398.26
416,3392.94
417,3393.6
418,3401.42
419,3405.23
420,3410.2
421,3420.0
422,3416.26
423,3410.12
424,3429.49
425,3383.06
426,3382.55
427,3349.94
428,3271.18
429,3295.2
430,3307.2
431,3285.01
432,3300.05
433,3290.04
434,3294.12
435,3282.6
436,3302.06
437,3258.02
438,3224.75
439,3250.92
440,3250.0
441,3253.57
442,3265.89
443,3280.7
444,3280.0
445,3275.4
446,3284.06
447,3286.14
448,3313.0
449,3351.57
450,3420.0
451,3431.79
452,3413.4
453,3470.4
