,close
0,1.1945
1,1.1833
2,1.1279
3,1.0429
4,1.0146
5,1.0303
6,1.0455
7,1.0251
8,1.0561
9,1.0227
10,1.16
11,1.0844
12,1.0222
13,0.9654
14,0.8585
15,0.9038
16,0.9439
17,0.932
18,0.9079
19,0.9434
20,0.9295
21,0.8971
22,0.9039
23,0.8666
24,0.8236
25,0.8288
26,0.9142
27,0.8597
28,0.7996
29,0.714
30,0.7547
31,0.7635
32,0.6967
33,0.6303
34,0.6329
35,0.6584
36,0.6193
37,0.6222
38,0.6322
39,0.6415
40,0.6561
41,0.6264
42,0.6038
43,0.548
44,0.5765
45,0.6055
46,0.5991
47,0.6172
48,0.6176
49,0.571
50,0.5873
51,0.5695
52,0.5521
53,0.5525
54,0.5515
55,0.5274
56,0.5714
57,0.5856
58,0.6515
59,0.6217
60,0.6737
61,0.6606
62,0.6502
63,0.6434
64,0.6445
65,0.6452
66,0.6213
67,0.6054
68,0.5724
69,0.5828
70,0.5824
71,0.6546
72,0.6459
73,0.71
74,0.682
75,0.6462
76,0.6735
77,0.6836
78,0.6976
79,0.6877
80,0.6637
81,0.6598
82,0.6461
83,0.6253
84,0.6302
85,0.6369
86,0.6304
87,0.6541
88,0.6498
89,0.6682
90,0.6641
91,0.6604
92,0.6628
93,0.6555
94,0.6515
95,0.5816
96,0.5812
97,0.5749
98,0.5772
99,0.5915
100,0.5976
101,0.59
102,0.5885
103,0.6033
104,0.5981
105,0.5859
106,0.5542
107,0.5697
108,0.5434
109,0.5235
110,0.5327
111,0.5482
112,0.5561
113,0.5469
114,0.5445
115,0.5375
116,0.5374
117,0.54
118,0.537
119,0.5404
120,0.5369
121,0.522
122,0.5279
123,0.5169
124,0.5215
125,0.5213
126,0.5309
127,0.5336
128,0.5238
129,0.5805
130,0.5994
131,0.6015
132,0.577
133,0.5611
134,0.5357
135,0.5506
136,0.5479
137,0.575
138,0.5732
139,0.5587
140,0.5592
141,0.5474
142,0.5592
143,0.6146
144,0.5864
145,0.6117
146,0.5898
147,0.5877
148,0.5648
149,0.5803
150,0.5601
151,0.5346
152,0.5256
153,0.5385
154,0.5588
155,0.5371
156,0.5234
157,0.5629
158,0.5746
159,0.5826
160,0.593
161,0.5915
162,0.5774
163,0.5907
164,0.5667
165,0.5716
166,0.5647
167,0.6073
