,close
0,1.05
1,1.09
2,1.083
3,1.1713
4,1.1945
5,1.1468
6,1.1426
7,1.146
8,1.1221
9,1.1661
10,1.1653
11,1.1608
12,1.2295
13,1.2535
14,1.25
15,1.2273
16,1.1833
17,1.1711
18,1.1626
19,1.1774
20,1.2025
21,1.1843
22,1.148
23,1.1192
24,1.1393
25,1.1188
26,1.1279
27,1.1256
28,1.0904
29,1.0797
30,1.0748
31,1.0324
32,1.0339
33,1.0522
34,1.0182
35,1.0286
36,1.0553
37,1.0644
38,1.0429
39,1.0135
40,1.0261
41,1.023
42,1.0101
43,1.019
44,0.9794
45,0.9653
46,0.9569
47,0.9775
48,0.9923
49,1.0146
50,1.0465
51,1.0193
52,1.0217
53,1.0483
54,1.0363
55,1.0363
56,1.0032
57,1.0276
58,1.0302
59,1.0303
60,1.0323
61,1.0599
62,1.0613
63,1.0631
64,1.0514
65,1.0725
66,1.0761
67,1.0602
68,1.0455
69,1.0448
70,1.0503
71,1.0248
72,0.9872
73,1.0077
74,1.0251
75,1.024
76,1.0329
77,1.0021
78,1.015
79,1.0058
80,1.014
81,1.0293
82,1.0442
83,1.0366
84,1.0561
85,1.0481
86,1.0285
87,1.0344
88,1.0344
89,1.0448
90,1.0227
91,1.0316
92,1.043
93,1.0303
94,1.0949
95,1.1292
96,1.16
97,1.1098
98,1.0903
99,1.0902
100,1.1186
101,1.1191
102,1.1374
103,1.1219
104,1.0844
105,1.0596
106,1.0484
107,1.0443
108,1.0671
109,1.0946
110,1.0691
111,1.0222
112,1.0071
113,0.9686
114,1.0025
115,0.9893
116,0.9995
117,1.0017
118,0.9723
119,0.9654
120,0.9773
121,0.9283
122,0.913
123,0.933
124,0.9393
125,0.9166
126,0.9084
127,0.8944
128,0.8585
129,0.8981
130,0.8949
131,0.9031
132,0.9012
133,0.8623
134,0.842
135,0.8658
136,0.8812
137,0.8731
138,0.9038
139,0.8925
140,0.9415
141,0.9335
142,0.9547
143,0.96
144,0.9673
145,0.9666
146,0.968
147,0.9439
148,0.949
149,0.9427
150,0.9307
151,0.9312
152,0.9231
153,0.932
154,0.9249
155,0.9032
156,0.9087
157,0.9076
158,0.9079
159,0.9345
160,0.9193
161,0.9278
162,0.9434
163,0.9342
164,0.9402
165,0.9295
166,0.9161
167,0.9222
168,0.9207
169,0.9242
170,0.9222
171,0.9019
172,0.8902
173,0.8928
174,0.9091
175,0.9017
176,0.8892
177,0.8971
178,0.9172
179,0.9331
180,0.9145
181,0.9257
182,0.9039
183,0.9223
184,0.9182
185,0.9073
186,0.905
187,0.8948
188,0.8666
189,0.8696
190,0.8597
191,0.8578
192,0.8546
193,0.8455
194,0.8186
195,0.8228
196,0.8299
197,0.8392
198,0.8236
199,0.8316
200,0.8131
201,0.8216
202,0.8006
203,0.7889
204,0.7922
205,0.7993
206,0.8072
207,0.8242
208,0.8288
209,0.8284
210,0.8487
211,0.9177
212,0.9075
213,0.9348
214,0.9466
215,0.9668
216,0.9631
217,0.932
218,0.9188
219,0.9155
220,0.9142
221,0.8948
222,0.912
223,0.9121
224,0.8771
225,0.8645
226,0.8808
227,0.8926
228,0.8915
229,0.886
230,0.857
231,0.8597
232,0.8482
233,0.8045
234,0.8181
235,0.7893
236,0.8091
237,0.8211
238,0.8206
239,0.8405
240,0.8213
241,0.8225
242,0.7991
243,0.7996
244,0.8083
245,0.7809
246,0.803
247,0.7633
248,0.7027
249,0.7357
250,0.7266
251,0.7047
252,0.735
253,0.7115
254,0.714
255,0.7499
256,0.732
257,0.706
258,0.7141
259,0.7131
260,0.7067
261,0.741
262,0.7378
263,0.7506
264,0.7547
265,0.7445
266,0.7483
267,0.7547
268,0.7488
269,0.7635
270,0.7472
271,0.7233
272,0.7381
273,0.7509
274,0.72
275,0.7268
276,0.6976
277,0.6967
278,0.714
279,0.7129
280,0.7122
281,0.6454
282,0.6113
283,0.6403
284,0.6337
285,0.6425
286,0.6303
287,0.6083
288,0.6207
289,0.6245
290,0.645
291,0.6329
292,0.6122
293,0.6304
294,0.6444
295,0.6471
296,0.6499
297,0.6631
298,0.6584
299,0.6499
300,0.6484
301,0.6523
302,0.6656
303,0.6618
304,0.6193
305,0.6276
306,0.6037
307,0.6087
308,0.6144
309,0.619
310,0.6149
311,0.6222
312,0.633
313,0.6393
314,0.642
315,0.6458
316,0.6465
317,0.6322
318,0.6223
319,0.6141
320,0.621
321,0.6297
322,0.6415
323,0.6355
324,0.6391
325,0.6566
326,0.6448
327,0.6561
328,0.6417
329,0.6372
330,0.6264
331,0.6178
332,0.6092
333,0.6015
334,0.6107
335,0.59
336,0.628
337,0.6114
338,0.6038
339,0.5786
340,0.5728
341,0.5835
342,0.56
343,0.5628
344,0.557
345,0.5338
346,0.548
347,0.5386
348,0.5516
349,0.5466
350,0.5555
351,0.569
352,0.5712
353,0.5707
354,0.5679
355,0.5765
356,0.5729
357,0.5839
358,0.5886
359,0.5849
360,0.5811
361,0.6185
362,0.6055
363,0.6243
364,0.6183
365,0.6383
366,0.6148
367,0.622
368,0.6203
369,0.6266
370,0.6045
371,0.5991
372,0.5956
373,0.5834
374,0.5956
375,0.6015
376,0.6105
377,0.6172
378,0.6066
379,0.5926
380,0.6052
381,0.625
382,0.6176
383,0.6339
384,0.6216
385,0.606
386,0.576
387,0.5741
388,0.571
389,0.5797
390,0.5817
391,0.5699
392,0.5648
393,0.5638
394,0.5582
395,0.5704
396,0.5873
397,0.5875
398,0.5723
399,0.5767
400,0.569
401,0.5662
402,0.5695
403,0.548
404,0.5393
405,0.5469
406,0.5308
407,0.538
408,0.555
409,0.5521
410,0.5583
411,0.5548
412,0.5556
413,0.5644
414,0.5557
415,0.5544
416,0.5589
417,0.5789
418,0.5525
419,0.5542
420,0.5549
421,0.5603
422,0.5383
423,0.5515
424,0.5479
425,0.54
426,0.5372
427,0.5235
428,0.5235
429,0.5289
430,0.5481
431,0.53
432,0.5274
433,0.536
434,0.5275
435,0.5338
436,0.5573
437,0.5813
438,0.5718
439,0.5714
440,0.5907
441,0.5839
442,0.5787
443,0.5686
444,0.5644
445,0.6015
446,0.612
447,0.5856
448,0.5675
449,0.5693
450,0.6135
451,0.6198
452,0.639
453,0.6563
454,0.6419
455,0.6316
456,0.6515
457,0.6823
458,0.6835
459,0.6669
460,0.6825
461,0.648
462,0.6608
463,0.624
464,0.6217
465,0.6425
466,0.6309
467,0.6218
468,0.6275
469,0.6298
470,0.6813
471,0.6737
472,0.6775
473,0.6759
474,0.6654
475,0.6606
476,0.6637
477,0.6747
478,0.643
479,0.639
480,0.6502
481,0.6502
482,0.6366
483,0.6429
484,0.6403
485,0.6272
486,0.6327
487,0.6434
488,0.6419
489,0.6562
490,0.6445
491,0.64
492,0.6567
493,0.6392
494,0.6646
495,0.6774
496,0.6449
497,0.6444
498,0.6452
499,0.6403
500,0.6286
501,0.6172
502,0.6175
503,0.6178
504,0.6233
505,0.6213
506,0.6153
507,0.6065
508,0.607
509,0.6064
510,0.616
511,0.6054
512,0.6073
513,0.5923
514,0.5812
515,0.5794
516,0.5724
517,0.5794
518,0.5845
519,0.587
520,0.5829
521,0.5888
522,0.5828
523,0.5834
524,0.5779
525,0.5824
526,0.5774
527,0.5789
528,0.5689
529,0.6321
530,0.6264
531,0.6337
532,0.6474
533,0.6546
534,0.633
535,0.6328
536,0.6459
537,0.6637
538,0.6749
539,0.7162
540,0.705
541,0.6938
542,0.6821
543,0.7025
544,0.7128
545,0.7319
546,0.71
547,0.6982
548,0.6945
549,0.7063
550,0.7012
551,0.6866
552,0.6934
553,0.6865
554,0.682
555,0.6889
556,0.6821
557,0.6675
558,0.6717
559,0.6732
560,0.6593
561,0.6508
562,0.6433
563,0.6462
564,0.6709
565,0.6547
566,0.6581
567,0.6572
568,0.6673
569,0.6726
570,0.6735
571,0.6861
572,0.68
573,0.6986
574,0.7072
575,0.701
576,0.6907
577,0.6836
578,0.6777
579,0.6976
580,0.6901
581,0.687
582,0.689
583,0.6877
584,0.6648
585,0.6592
586,0.649
587,0.6475
588,0.6637
589,0.6778
590,0.6533
591,0.6486
592,0.6598
593,0.6493
594,0.6461
595,0.6807
596,0.651
597,0.6306
598,0.6253
599,0.6302
600,0.625
601,0.6162
602,0.6369
603,0.6304
604,0.6367
605,0.6447
606,0.6541
607,0.6424
608,0.6416
609,0.6498
610,0.6575
611,0.6611
612,0.6671
613,0.6658
614,0.6682
615,0.6516
616,0.6697
617,0.6641
618,0.6624
619,0.6604
620,0.6628
621,0.6555
622,0.6571
623,0.6515
624,0.6079
625,0.5978
626,0.5654
627,0.5686
628,0.5719
629,0.5738
630,0.5825
631,0.5822
632,0.5816
633,0.5884
634,0.5858
635,0.5878
636,0.5913
637,0.5812
638,0.5783
639,0.5785
640,0.5695
641,0.5735
642,0.5749
643,0.5763
644,0.5821
645,0.5759
646,0.5772
647,0.588
648,0.5903
649,0.5952
650,0.59
651,0.5925
652,0.5876
653,0.5915
654,0.5849
655,0.6024
656,0.5989
657,0.5996
658,0.5924
659,0.5892
660,0.5976
661,0.5925
662,0.5894
663,0.593
664,0.59
665,0.59
666,0.5885
667,0.5832
668,0.5832
669,0.5855
670,0.6033
671,0.5901
672,0.5884
673,0.5981
674,0.5911
675,0.5859
676,0.5644
677,0.5545
678,0.5542
679,0.5654
680,0.5745
681,0.5697
682,0.5676
683,0.5434
684,0.5066
685,0.5235
686,0.5188
687,0.5327
688,0.539
689,0.5433
690,0.556
691,0.5482
692,0.553
693,0.5561
694,0.5469
695,0.5309
696,0.5445
697,0.5357
698,0.5311
699,0.5309
700,0.5299
701,0.5375
702,0.5515
703,0.5406
704,0.54
705,0.5374
706,0.5356
707,0.54
708,0.537
709,0.5521
710,0.5517
711,0.5511
712,0.5404
713,0.5369
714,0.522
715,0.525
716,0.5273
717,0.5287
718,0.5278
719,0.5279
720,0.5293
721,0.5207
722,0.5216
723,0.5179
724,0.5169
725,0.5187
726,0.5215
727,0.5178
728,0.5213
729,0.5259
730,0.5246
731,0.5266
732,0.5309
733,0.5351
734,0.5376
735,0.5435
736,0.5336
737,0.5218
738,0.5186
739,0.5238
740,0.5248
741,0.527
742,0.5521
743,0.559
744,0.5805
745,0.5712
746,0.5888
747,0.6116
748,0.6115
749,0.6045
750,0.6051
751,0.5888
752,0.599
753,0.5978
754,0.5994
755,0.5903
