,close
0,104.26
1,104.46
2,102.2
3,101.76
4,101.68
5,101.83
6,101.54
7,101.98
8,103.37
9,103.1
10,103.24
11,103.74
12,105.0
13,105.48
14,105.23
15,104.96
16,104.86
17,104.91
18,104.98
19,104.15
20,103.86
21,102.47
22,102.09
23,102.78
24,102.57
25,103.35
26,104.89
27,105.72
28,106.37
29,105.09
30,105.69
31,104.99
32,104.9
33,104.72
34,105.0
35,103.25
36,102.81
37,103.38
38,103.77
39,104.02
40,104.55
41,103.78
42,104.58
43,104.67
44,106.91
45,106.91
46,107.46
47,108.15
48,107.39
49,107.62
50,107.03
51,107.03
52,106.82
53,107.96
54,109.51
55,106.7
56,106.14
57,106.54
58,107.35
59,107.11
60,108.02
61,107.65
62,107.45
63,107.78
64,107.71
65,107.79
66,108.81
67,108.62
68,108.33
69,108.46
70,107.77
71,109.61
72,110.03
73,109.78
74,110.48
75,111.38
76,111.0
77,110.5
78,110.39
79,109.94
80,110.73
81,109.84
82,109.4
83,109.32
84,109.38
85,109.36
86,109.36
87,109.71
88,110.45
89,110.93
90,110.07
91,110.23
92,110.49
93,111.42
94,110.79
95,110.69
96,110.47
97,110.45
98,110.39
99,110.3
100,108.13
101,109.07
102,108.97
103,108.68
104,108.83
105,109.55
106,109.48
107,109.26
108,109.45
109,109.38
110,109.25
111,109.03
112,109.22
113,109.71
114,110.3
115,110.97
116,111.35
117,111.72
118,111.56
119,112.44
120,112.16
121,112.31
122,111.7
123,111.96
124,112.7
125,112.52
126,112.44
127,112.32
128,112.2
129,112.44
130,112.6
131,112.7
132,112.65
133,112.76
134,112.56
135,112.37
136,113.04
137,112.52
138,113.18
139,113.53
140,114.38
141,114.26
142,114.13
143,113.68
144,113.91
145,113.8
146,113.3
147,116.94
148,117.22
149,116.18
150,116.37
151,116.44
152,115.92
153,116.54
154,116.07
155,115.56
156,115.18
157,114.5
158,114.62
159,114.3
160,113.21
161,112.86
162,112.71
163,112.33
164,112.88
165,112.14
166,112.64
167,115.32
168,114.94
169,114.55
170,115.94
171,114.89
172,116.5
173,115.37
174,113.98
175,114.22
176,114.5
177,115.03
178,114.26
179,114.98
180,114.58
181,114.86
182,115.19
183,114.97
184,114.99
185,114.97
186,114.23
187,115.11
188,114.69
189,115.81
190,115.91
191,116.54
192,116.26
193,116.36
194,116.23
195,116.19
196,117.39
197,117.29
198,120.22
199,119.33
200,120.25
201,120.4
202,118.98
203,119.42
204,121.42
205,121.9
206,121.81
207,122.4
208,122.09
209,121.6
210,120.94
211,120.69
212,121.07
213,123.19
214,122.56
215,121.14
216,121.53
217,122.15
218,122.15
219,122.91
220,123.37
221,121.79
222,121.27
223,120.04
224,119.77
225,120.37
226,120.19
227,120.24
228,119.87
229,118.99
230,119.59
231,119.43
232,120.54
233,120.01
234,121.94
235,122.24
236,121.91
237,120.5
238,119.76
239,121.11
240,121.86
241,121.57
242,121.87
243,122.53
244,123.14
245,121.46
246,122.04
247,120.68
248,121.86
249,122.24
250,122.66
251,122.64
252,122.97
253,122.55
254,122.73
255,122.06
256,121.2
257,121.53
258,122.48
259,124.57
260,125.8
261,124.53
262,125.02
263,125.83
264,126.27
265,127.44
266,126.3
267,126.57
268,125.65
269,126.09
270,125.85
271,126.38
272,127.22
273,126.8
274,126.57
275,125.59
276,125.68
277,126.08
278,125.73
279,126.83
280,126.74
281,126.75
282,126.39
283,124.44
284,125.07
285,122.74
286,123.63
287,123.57
288,124.31
289,124.64
290,123.62
291,124.07
292,123.34
293,124.13
294,123.43
295,124.23
296,124.31
297,124.52
298,124.32
299,125.08
300,124.56
301,124.67
302,124.59
303,124.57
304,124.16
305,123.16
306,123.1
307,122.67
308,123.33
309,123.12
310,123.22
311,123.96
312,125.02
313,125.31
314,124.95
315,124.86
316,125.3
317,125.39
318,125.0
319,126.52
320,126.31
321,126.04
322,126.0
323,125.73
324,125.48
325,125.68
326,125.89
327,124.83
328,123.56
329,124.86
330,124.55
331,126.0
332,126.1
333,125.0
334,125.16
335,124.43
336,127.24
337,128.73
338,128.3
339,129.66
340,129.57
341,129.82
342,129.78
343,130.44
344,130.44
345,132.03
346,131.59
347,131.58
348,131.48
349,131.44
350,131.58
351,131.27
352,131.44
353,132.39
354,132.19
355,131.67
356,131.03
357,131.34
358,131.66
359,130.93
360,131.35
361,129.91
362,129.68
363,127.56
364,128.86
365,130.48
366,129.32
367,129.01
368,129.94
369,130.0
370,130.12
371,129.5
372,130.32
373,130.12
374,130.23
375,131.54
376,131.26
377,129.94
378,130.11
379,128.73
380,129.19
381,128.77
382,129.31
383,129.48
384,128.9
385,129.1
386,129.37
387,130.14
388,129.11
389,126.9
390,127.24
391,128.09
392,128.08
393,128.93
394,129.48
395,130.36
396,130.51
397,130.86
398,131.21
399,131.16
400,132.68
401,131.14
402,131.24
403,131.79
404,132.47
405,133.74
406,132.41
407,131.96
408,131.91
409,130.98
410,131.32
411,131.06
412,132.13
413,132.72
414,131.83
415,131.49
416,129.46
417,130.33
418,130.47
419,129.69
420,129.86
421,129.46
422,130.19
423,129.9
424,130.37
425,126.59
426,125.3
427,123.86
428,122.24
429,123.26
430,124.76
431,124.33
432,124.87
433,124.48
434,124.69
435,123.85
436,124.47
437,122.34
438,119.44
439,120.86
440,121.57
441,121.61
442,122.31
443,122.75
444,122.41
445,122.26
446,122.59
447,122.22
448,123.19
449,123.4
450,125.1
451,124.9
452,123.97
453,124.81
454,124.89
455,126.16
456,125.29
457,125.61
458,125.41
459,124.82
460,126.84
461,126.79
462,126.42
463,126.28
464,126.61
465,126.74
466,126.92
467,126.83
468,126.81
469,127.29
470,127.49
471,126.9
472,127.31
473,127.54
474,127.42
475,125.75
476,126.44
477,126.57
478,124.34
479,125.21
480,125.3
481,125.46
482,125.19
483,124.8
484,125.69
485,124.6
486,124.35
487,124.96
488,125.51
489,125.4
490,126.25
491,126.13
492,125.89
493,126.19
494,126.4
