,close
0,55.71
1,55.76
2,55.79
3,55.81
4,55.69
5,55.68
6,55.8
7,55.74
8,55.76
9,55.66
10,55.58
11,55.32
12,55.41
13,55.53
14,55.39
15,55.57
16,55.54
17,55.68
18,55.52
19,55.58
20,55.67
21,55.69
22,55.63
23,55.46
24,55.46
25,55.34
26,55.29
27,55.3
28,55.38
29,55.3
30,55.26
31,55.33
32,55.33
33,55.42
34,55.41
35,55.41
36,55.4
37,55.41
38,55.38
39,55.41
40,55.44
41,55.49
42,55.59
43,55.56
44,55.61
45,55.67
46,55.69
47,55.63
48,55.63
49,55.58
50,55.63
51,55.68
52,55.6
53,55.62
54,55.61
55,55.69
56,55.73
57,55.79
58,55.8
59,55.81
60,55.7
61,55.74
62,55.81
63,55.9
64,55.82
65,55.83
66,55.87
67,56.01
68,55.98
69,55.92
70,55.85
71,55.82
72,55.89
73,55.81
74,55.82
75,55.82
76,55.84
77,55.85
78,55.85
79,55.85
80,55.85
81,55.77
82,55.68
83,55.65
84,55.65
85,55.69
86,55.43
87,55.38
88,55.27
89,54.93
90,54.81
91,54.83
92,55.1
93,55.11
94,55.12
95,55.23
96,55.24
97,55.3
98,55.33
99,55.24
100,55.24
101,55.3
102,55.29
103,55.33
104,55.34
105,55.39
106,55.37
107,55.38
108,55.44
109,55.37
110,55.42
111,55.58
112,55.65
113,55.61
114,55.55
115,55.47
116,55.17
117,55.15
118,55.22
119,55.11
120,55.1
121,54.98
122,55.1
123,55.14
124,55.02
125,54.91
126,54.82
127,54.9
128,54.83
129,54.8
130,54.54
131,54.66
132,54.71
133,54.65
134,54.66
135,54.47
136,54.32
137,54.47
138,54.38
139,54.55
140,54.59
141,54.64
142,54.64
143,54.69
144,54.76
145,54.81
146,54.67
147,54.78
148,54.93
149,54.96
150,55.0
151,55.03
152,55.13
153,55.21
154,55.32
155,55.29
156,55.3
157,55.41
158,55.47
159,55.48
160,55.5
161,55.47
162,55.35
163,55.3
164,55.22
165,55.36
166,55.32
167,55.32
168,55.34
169,55.29
170,55.3
171,55.47
172,55.56
173,55.36
174,55.4
175,55.41
176,55.3
177,55.28
178,55.25
179,55.12
180,55.16
181,55.16
182,55.18
183,55.14
184,55.02
185,54.96
186,54.89
187,54.92
188,54.82
189,54.8
190,54.94
191,54.93
192,54.99
193,55.05
194,55.06
195,54.95
196,54.88
197,54.91
198,54.94
199,54.96
200,55.02
201,55.07
202,55.15
203,55.12
204,55.13
205,55.15
206,55.08
207,54.83
208,54.9
209,54.93
210,54.99
211,55.02
212,54.84
213,54.85
214,54.82
215,54.78
216,54.82
217,54.88
218,54.87
219,54.87
220,54.94
221,54.99
222,54.99
223,55.12
224,55.28
225,55.4
226,55.6
227,55.88
228,55.96
229,55.87
230,56.15
231,56.01
232,55.87
233,55.71
234,55.88
235,56.0
236,56.0
237,56.12
238,55.97
239,56.02
240,55.95
241,56.11
242,56.29
243,56.35
244,56.34
245,56.34
246,56.11
247,56.08
248,56.04
249,56.05
250,56.13
251,56.14
252,56.03
253,56.0
254,56.01
255,55.97
256,55.93
257,56.02
258,56.07
259,56.07
260,56.18
261,56.22
262,55.97
263,55.93
264,55.93
265,55.86
266,55.92
267,55.96
268,56.1
269,56.15
270,56.06
271,56.01
272,55.79
273,55.84
274,55.75
275,55.62
276,55.4
277,54.44
278,54.66
279,54.43
280,54.43
281,54.72
282,54.5
283,54.5
284,54.2
285,54.3
286,54.45
287,54.32
288,54.35
289,54.21
290,54.33
291,54.41
292,54.39
293,54.47
294,54.47
295,54.57
296,54.62
297,54.54
298,54.48
299,54.45
300,54.68
301,54.46
302,54.45
303,54.32
304,54.4
305,54.7
306,54.71
307,54.38
308,54.3
309,54.35
310,54.33
311,54.28
312,54.22
313,54.33
314,54.37
315,54.37
316,54.54
317,54.58
318,54.59
319,54.58
320,54.56
321,54.56
322,54.44
323,54.36
324,54.47
325,54.52
326,54.45
327,54.52
328,54.56
329,54.52
330,54.5
331,54.56
332,54.63
333,54.65
334,54.63
335,54.68
336,54.58
337,54.52
338,54.49
339,54.5
340,54.48
341,54.46
342,54.49
343,54.6
344,54.62
345,54.81
346,54.94
347,55.04
348,55.03
349,54.81
350,54.89
351,54.81
352,54.77
353,54.82
354,54.77
355,54.85
356,54.82
357,54.85
358,54.9
359,54.92
360,54.89
361,54.8
362,54.72
363,54.74
364,54.73
365,54.73
366,54.77
367,54.82
368,54.8
369,54.75
370,54.95
371,54.95
372,55.15
373,55.23
374,55.24
375,55.19
376,55.16
377,55.23
378,55.2
379,55.08
380,55.08
381,55.07
382,55.09
383,55.16
384,55.19
385,55.18
386,55.18
387,55.17
388,55.11
389,55.16
390,55.24
391,55.11
392,55.04
393,55.24
394,55.21
395,55.33
396,55.14
397,55.06
398,54.98
399,54.97
400,55.14
401,55.0
402,54.94
403,54.94
404,54.96
405,54.94
406,54.98
407,55.1
408,55.06
409,55.11
410,55.21
411,55.26
412,55.18
413,55.03
414,55.15
415,55.15
416,55.12
417,55.08
418,55.1
419,55.09
420,55.04
421,55.09
422,55.09
423,55.15
424,55.14
425,55.21
426,55.18
427,55.23
428,55.23
429,55.18
430,55.11
431,55.1
432,55.1
433,55.06
434,55.06
435,55.04
436,55.06
437,54.95
438,55.0
439,54.99
440,55.02
441,54.91
442,54.92
443,54.96
444,54.99
445,54.93
446,54.87
447,54.96
448,55.0
449,55.0
450,54.97
451,54.94
452,54.98
453,54.92
454,54.98
455,54.96
456,54.85
457,54.87
458,54.89
459,54.9
460,55.03
461,55.08
462,55.02
463,55.04
464,55.11
465,55.25
466,55.27
467,55.28
468,55.42
469,55.47
470,55.39
471,55.35
472,55.45
473,55.44
474,55.53
475,55.55
476,55.54
477,55.64
478,55.65
479,55.5
480,55.31
481,55.42
482,55.45
483,55.45
484,55.51
485,55.49
486,55.59
487,55.62
488,55.72
489,55.54
490,55.6
491,55.51
492,55.43
493,55.62
494,55.52
495,55.52
496,55.52
497,55.52
498,55.55
499,55.59
500,55.63
501,55.64
502,55.49
503,55.58
504,55.6
505,55.68
506,55.72
507,55.68
