,close
0,32.68
1,32.57
2,32.66
3,32.68
4,32.64
5,32.73
6,32.82
7,32.88
8,32.88
9,32.88
10,32.9
11,32.91
12,32.89
13,32.87
14,32.93
15,32.93
16,32.82
17,32.81
18,32.82
19,32.8
20,32.79
21,32.75
22,32.65
23,32.63
24,32.74
25,32.78
26,32.8
27,32.77
28,32.74
29,32.81
30,32.81
31,32.97
32,33.1
33,33.01
34,33.19
35,33.14
36,33.1
37,33.25
38,33.32
39,33.48
40,33.33
41,33.41
42,33.33
43,33.45
44,33.32
45,33.31
46,33.25
47,33.23
48,33.24
49,33.25
50,33.21
51,33.19
52,33.21
53,33.21
54,33.28
55,33.27
56,33.27
57,33.35
58,33.4
59,33.37
60,33.28
61,33.39
62,33.27
63,33.64
64,33.49
65,33.56
66,33.59
67,33.6
68,33.78
69,33.86
70,33.7
71,33.59
72,33.65
73,33.72
74,33.69
75,33.75
76,33.77
77,33.63
78,33.63
79,33.66
80,33.63
81,33.64
82,33.67
83,33.57
84,33.57
85,33.52
86,33.42
87,33.42
88,33.55
89,33.58
90,33.57
91,33.56
92,33.59
93,33.68
94,33.73
95,33.8
96,33.71
97,33.69
98,33.78
99,33.83
100,33.82
101,33.75
102,33.82
103,33.96
104,33.88
105,33.88
106,33.77
107,33.78
108,33.65
109,33.55
110,33.17
111,33.22
112,33.33
113,33.35
114,33.25
115,33.29
116,33.38
117,33.41
118,33.33
119,33.19
120,33.24
121,33.39
122,33.43
123,33.37
124,33.33
125,33.36
126,33.36
127,33.23
128,33.08
129,33.01
130,32.98
131,33.0
132,33.06
133,32.97
134,32.92
135,32.47
136,32.58
137,32.47
138,32.57
139,32.5
140,32.54
141,32.52
142,32.29
143,32.31
144,32.34
145,32.25
146,32.28
147,32.37
148,32.44
149,32.44
150,32.42
151,32.27
152,32.32
153,32.29
154,32.27
155,31.38
156,31.4
157,31.46
158,31.41
159,31.1
160,30.91
161,31.1
162,31.26
163,31.34
164,31.25
165,31.09
166,31.12
167,31.12
168,31.46
169,31.63
170,31.6
171,31.71
172,31.59
173,31.5
174,31.51
175,31.37
176,30.88
177,30.67
178,30.78
179,30.81
180,30.8
181,30.65
182,30.9
183,31.12
184,31.21
185,31.29
186,31.4
187,31.52
188,31.48
189,31.4
190,31.09
191,31.07
192,31.11
193,30.87
194,31.12
195,31.0
196,30.96
197,31.15
198,31.11
199,31.07
200,30.98
201,31.0
202,30.86
203,30.7
204,30.76
205,30.81
206,30.99
207,30.94
208,31.12
209,31.41
210,31.38
211,31.2
212,31.09
213,31.18
214,31.19
215,31.37
216,31.24
217,31.5
218,31.46
219,31.43
220,31.35
221,31.67
222,31.9
223,32.17
224,32.23
225,32.39
226,32.09
227,32.17
228,32.07
229,31.93
230,31.88
231,32.06
232,31.85
233,32.03
234,32.13
235,32.09
236,31.92
237,31.82
238,31.87
239,31.94
240,31.91
241,32.19
242,32.37
243,32.66
244,32.7
245,32.87
246,32.82
247,32.73
248,32.86
249,32.76
250,32.74
251,32.9
252,32.74
253,32.91
254,32.75
255,32.83
256,32.65
257,32.82
258,32.88
259,32.69
260,32.84
261,32.79
262,32.58
263,32.61
264,32.55
265,32.61
266,32.55
267,32.47
268,32.46
269,32.53
270,32.48
271,32.43
272,32.54
273,32.45
274,32.46
275,32.4
276,32.04
277,32.29
278,32.41
279,32.36
280,32.13
281,32.27
282,32.28
283,32.46
284,32.46
285,32.43
286,32.28
287,32.19
288,32.13
289,32.16
290,32.36
291,32.57
292,32.57
293,32.21
294,32.32
295,32.26
296,32.39
297,32.45
298,32.28
299,32.25
300,32.09
301,32.04
302,32.04
303,32.07
304,32.1
305,32.11
306,32.16
307,32.3
308,32.4
309,32.22
310,32.21
311,32.11
312,32.0
313,32.17
314,32.06
315,31.97
316,31.72
317,31.66
318,31.82
319,31.78
320,31.94
321,31.97
322,32.29
323,32.3
324,32.23
325,32.09
326,32.52
327,32.34
328,32.22
329,32.25
330,32.22
331,31.91
332,31.83
333,31.78
334,31.47
335,31.68
336,31.74
337,31.71
338,31.79
339,31.88
340,32.02
341,31.98
342,31.81
343,31.97
344,31.79
345,31.69
346,31.7
347,31.74
348,31.8
349,31.63
350,31.56
351,31.61
352,31.75
353,31.64
354,31.7
355,31.43
356,31.49
357,31.42
358,31.4
359,31.57
360,31.63
361,31.54
362,31.73
363,31.74
364,31.63
365,31.72
366,31.65
367,31.93
368,31.92
369,31.88
370,31.79
371,31.84
372,31.83
373,31.8
374,31.86
375,31.83
376,31.84
377,31.94
378,31.95
379,31.97
380,32.02
381,31.86
382,31.67
383,31.64
384,31.51
385,31.59
386,31.63
387,31.43
388,31.74
389,31.73
390,31.76
391,31.7
392,31.55
393,31.6
394,31.63
395,31.46
396,31.44
397,31.56
398,31.65
399,31.57
400,31.69
401,31.72
402,31.9
403,31.85
404,31.88
405,31.94
406,32.05
407,32.04
408,32.05
409,32.16
410,32.16
411,32.11
412,32.01
413,32.05
414,32.12
415,32.14
416,32.17
417,31.98
418,31.63
419,31.39
420,31.48
