,close
0,82.95
1,81.88
2,81.63
3,81.8
4,82.31
5,83.03
6,84.11
7,84.35
8,87.99
9,88.38
10,87.34
11,88.31
12,89.25
13,89.08
14,88.54
15,88.71
16,88.24
17,87.82
18,86.87
19,87.82
20,88.95
21,88.37
22,88.33
23,87.01
24,87.01
25,86.41
26,86.95
27,87.9
28,88.08
29,87.85
30,86.28
31,85.59
32,85.36
33,83.25
34,82.72
35,82.65
36,82.69
37,82.85
38,82.7
39,82.4
40,82.15
41,82.53
42,81.85
43,82.14
44,81.98
45,82.28
46,82.23
47,82.1
48,82.47
49,83.26
50,82.84
51,83.47
52,82.91
53,82.43
54,81.46
55,81.37
56,81.96
57,80.56
58,81.51
59,81.99
60,82.27
61,81.86
62,81.91
63,81.91
64,83.34
65,83.57
66,82.68
67,82.44
68,81.81
69,80.96
70,80.98
71,80.63
72,80.58
73,80.29
74,81.21
75,81.19
76,80.67
77,81.56
78,82.37
79,82.03
80,81.83
81,82.03
82,82.09
83,81.68
84,81.7
85,81.04
86,81.27
87,81.27
88,81.14
89,81.42
90,81.36
91,81.24
92,81.7
93,81.95
94,82.11
95,82.06
96,81.64
97,81.93
98,81.75
99,81.89
100,81.42
101,81.1
102,81.22
103,81.72
104,82.6
105,82.41
106,82.19
107,82.35
108,81.73
109,81.69
110,81.36
111,81.38
112,81.07
113,80.3
114,80.55
115,81.23
116,81.23
117,81.08
118,81.13
119,80.83
120,80.5
121,79.67
122,79.92
123,78.35
124,78.76
125,78.85
126,78.71
127,78.94
128,79.59
129,80.28
130,80.24
131,80.31
132,80.92
133,81.32
134,81.8
135,81.59
136,80.92
137,80.7
138,80.64
139,81.41
140,81.01
141,80.63
142,79.27
143,79.06
144,79.93
145,79.35
146,79.84
147,80.87
148,81.23
149,81.39
150,80.08
151,80.18
152,79.69
153,79.91
154,79.85
155,79.92
156,79.35
157,79.21
158,79.32
159,79.9
160,80.11
161,80.54
162,80.18
163,80.54
164,81.09
165,81.71
166,82.82
